"","1","0.169224036178932","0.140080108087406","0.100951464008608","0.100778662847937","0.0960872120119147","0.0804652493087997","0.0656699565493533","0.0627532228360958","0.0501748491497532","0.0359983543609435","0.0356940509915014","0.0356292239430319","0.0253837306151588","0.02394747668678","0.0216500415079919","0.0205061700877388","0.018780182436058","0.0178339197322392","0.0159039376616741","0.0131852879944483","0.0130672156090576","0.0100123529029322","0.00986810589850861","0.00984586596023032","0.00835643564356436","0.00768227279315843","0.00729437035711089","0.00713470319634703","0.00696196467920672","0.00679664439956501","0.00613969321796924","0.00574257425742574","0.00450436878577885","0.00424826755046701","0.00423520454293102","0.00416377515614157","0.003934895367555","0.00354485357519241","0.00317966945945619","0.00277585010409438","0.00267981979182849","0.00196903248903607","0.00167391128270202","0.00160342063067878","0.00132570051220247","0.00122547404762219","0.000670647973685051","0.000547101375858645","0.000495847279038056","0.000346489906598373","0.000215430115534373","0.000184479964158178","0.000127742471178105","0.000101479379073049","3.01295570955107e-05","0"
"16001",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,17,16,16,15,14,13,12,11,16,15,14,13,12,11,10,10,9,8,7,8,7,6,5,4,3,2,0
"41001",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,23,22,21,20,19,18,17,16,15,14,13,12,11,10,11,12,11,10,9,8,7,6,5,4,3,2,0
"41003",3,3,3,3,3,3,3,3,3,27,34,34,33,32,31,31,30,29,39,38,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,0
"53005",4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,12,11,10,11,12,11,10,9,8,7,6,5,4,3,2,0
"16027",5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,23,22,21,20,19,19,18,17,16,16,15,14,13,12,11,16,15,14,13,12,11,10,10,9,8,7,8,7,6,5,4,3,2,0
"41005",6,6,36,51,50,49,48,50,49,48,47,46,45,44,43,42,41,40,39,38,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,0
"53011",7,7,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,0
"41007",8,8,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,4,4,3,3,3,2,1,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,0
"41009",9,9,8,8,8,49,48,50,49,48,47,46,45,44,43,42,41,40,39,38,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,0
"41011",10,10,9,9,9,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,5,5,4,4,4,3,2,1,1,1,1,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,0
"53015",11,11,10,10,10,9,9,9,9,8,8,8,8,8,8,8,41,40,39,38,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,0
"41013",12,12,11,11,11,10,12,12,20,19,19,19,18,17,17,17,16,15,15,15,14,14,13,12,11,11,10,10,10,9,8,7,7,9,16,15,14,13,12,11,15,14,13,12,11,12,11,10,9,8,7,6,5,4,3,2,0
