"","1","0.166454080421688","0.158747151350166","0.157035167500982","0.135937682878356","0.134611602753196","0.120007680491551","0.117871137978185","0.111302656588428","0.109715559015898","0.0908806507117159","0.0812246327599869","0.0729244979057029","0.0721068935239243","0.0714285714285714","0.0632198487669509","0.0615958936070929","0.0561107340390197","0.0510295434198747","0.0448373538029073","0.0417553242950407","0.0395008277091557","0.0337717179276912","0.031907784831273","0.0295771632406088","0.0293931645268271","0.0207313368632981","0.0174904821232617","0.0167735863742156","0.0123729584726174","0.0112375331565135","0.010226964241479","0.00924119104000231","0.00825666900926704","0.00630941580199434","0.00505174058761651","0.00450727130623606","0.00445638655450491","0.00406427169783117","0.00329648070061209","0.00286866875646546","0.00213014976837648","0.00211999270747903","0.00189330660429892","0.000937541126227437","0.000861213561593776","0.000425842642238416","0.000425676550563253","0.000245880969304725","0.000156421085562334","0.000147903303419222","6.88167552953431e-05","6.72229981082855e-05","3.49480497240852e-05","3.00579581747608e-05","2.86381964809384e-05","9.85008175567857e-06","7.22052940921628e-06","2.18200524883465e-06","4.74334928102297e-07"
"16001",1,8,8,8,8,8,7,7,7,7,7,6,6,6,5,19,18,18,17,17,16,15,25,24,23,23,22,22,21,20,19,18,17,16,15,14,13,12,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,1
"16003",2,1,1,1,1,1,1,1,1,1,1,1,1,1,44,43,42,41,40,39,38,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,14,13,12,11,10,9,8,7,6,5,4,3,2,1,1
"53003",3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,23,22,21,20,20,19,19,18,17,16,15,14,13,12,11,10,9,9,8,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"16005",4,3,3,3,3,3,3,3,3,3,3,39,38,37,36,35,34,33,32,31,30,29,28,27,26,25,24,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,7,11,10,9,8,7,7,6,5,4,3,2,1,1,1
"16007",5,4,4,4,4,4,4,4,4,4,4,3,3,3,2,2,2,2,2,2,2,1,1,5,4,4,3,3,3,2,2,2,2,2,2,1,1,7,7,6,6,6,6,9,8,8,7,6,9,8,7,7,6,5,4,3,2,1,1,1
"16009",6,5,5,5,5,5,5,5,5,5,5,4,4,4,3,3,3,3,3,3,3,2,2,1,1,1,1,1,1,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,11,10,9,8,7,10,9,8,7,6,5,4,3,2,1
"16011",7,6,6,6,6,6,6,6,6,6,6,5,5,5,4,4,4,4,4,4,17,16,15,14,13,13,12,12,16,15,14,13,12,11,10,9,15,14,13,12,11,10,9,8,7,7,11,10,9,8,7,7,6,5,4,3,2,1,1,1
"16013",8,7,7,7,7,7,33,32,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,16,15,15,14,13,12,11,10,9,23,22,21,20,19,18,17,16,15,14,13,13,12,11,10,9,8,8,7,6,5,4,3,2,1,1
"16015",9,8,8,8,8,8,7,7,7,7,7,6,6,6,5,19,18,18,17,17,16,15,25,24,23,23,22,22,21,20,19,18,17,16,15,14,13,12,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,1
"16017",10,9,9,9,9,9,8,8,8,8,8,7,7,7,6,5,5,5,5,5,4,3,3,2,2,2,2,2,2,1,1,1,1,1,1,15,14,13,12,11,10,9,13,12,11,11,10,9,8,7,10,9,8,7,6,5,4,3,2,1
"16019",11,10,30,29,28,28,27,27,27,26,25,24,24,23,22,21,20,20,19,18,17,16,15,14,13,13,12,12,16,15,14,13,12,11,10,9,15,14,13,12,11,10,9,8,7,7,11,10,9,8,7,7,6,5,4,3,2,1,1,1
"16021",12,11,10,10,10,10,9,9,9,9,9,8,8,8,7,6,6,6,6,6,5,4,4,3,2,2,2,2,2,1,1,1,1,1,1,15,14,13,12,11,10,9,13,12,11,11,10,9,8,7,10,9,8,7,6,5,4,3,2,1
"49003",13,12,11,11,11,11,10,10,10,10,10,9,9,9,8,7,30,29,28,27,26,25,24,23,22,22,21,21,20,19,18,17,16,15,14,13,12,11,11,10,9,8,8,7,6,6,6,5,5,4,4,4,6,5,4,3,2,1,1,1
