"","1","0.180161610504649","0.177862938746671","0.11117542654228","0.110634517624964","0.0997313992379757","0.0848207107531392","0.0517840509474885","0.046411385887069","0.0429707708013219","0.0391458377300433","0.0262151117235602","0.0202267621341825","0.018780182436058","0.0181444910888971","0.0159039376616741","0.0142542350815675","0.0110163884862918","0.010825020753996","0.0103915371725909","0.00948603550453668","0.00639928453029948","0.00593864073426922","0.00517426123920756","0.0049340529492543","0.00443720413511153","0.00424826755046701","0.00387344592374352","0.00374212245416233","0.00252158427179307","0.00232065489306891","0.00208188757807078","0.00190776112231014","0.00119161011597173","0.000909397478585189","0.000886213393798103","0.000845322812388117","0.000553907972389947","0.000492258122259017","0.000306368511905546","0.000253820525613161","0.000185056673606292","0.000183925508907371","0.00013412959473701","0.000112902098006719","7.7064165187772e-05","6.56212013848227e-05","6.19967141741488e-05","2.16556191623983e-05","2.12904118630175e-05","1.64970761124288e-05","9.13574575087022e-06","5.5490865998234e-06","3.92510562038677e-06","2.18855473195125e-06","5.47810129009286e-07","0"
"16001",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,15,14,13,13,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,5,4,3,3,3,2,0
"41001",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,31,30,29,28,27,26,25,24,23,24,23,22,21,20,19,18,17,16,15,14,13,13,12,11,10,9,8,9,8,7,6,7,6,5,4,3,2,0
"41003",3,3,3,3,3,30,29,28,27,26,25,25,32,31,31,30,29,28,28,27,26,25,24,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,0
"53005",4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,24,23,22,21,20,19,18,17,16,15,14,13,12,12,11,11,10,9,8,9,8,7,6,7,6,5,4,3,2,0
"16027",5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,21,20,19,18,18,17,16,15,14,13,13,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,5,4,3,3,3,2,0
"41005",6,6,36,35,50,49,48,47,46,45,44,46,45,44,43,42,41,40,39,38,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,0
"53011",7,7,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,3,3,3,2,2,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,0
"41007",8,8,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,4,24,23,22,22,21,20,19,18,17,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,0
"41009",9,9,8,8,8,7,7,47,46,45,44,46,45,44,43,42,41,40,39,38,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,0
"41011",10,10,9,9,9,8,8,7,7,7,7,7,7,7,7,7,7,7,7,6,6,8,8,8,7,6,6,5,5,4,3,3,2,6,6,6,5,4,4,3,3,3,3,3,13,12,11,10,9,8,7,6,5,4,3,2,0
"53015",11,11,10,10,10,9,9,8,8,8,8,8,8,8,8,8,8,8,8,7,7,6,6,6,5,4,4,3,3,2,1,1,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,0
"41013",12,12,11,11,11,10,12,11,11,11,17,17,17,16,16,16,15,15,15,14,14,13,13,13,12,11,11,10,10,9,8,7,6,5,5,5,13,12,12,11,11,14,13,12,11,10,9,8,7,6,7,6,5,4,3,2,0
"41015",13,13,12,12,12,11,10,9,9,9,9,9,9,9,9,9,9,9,9,8,8,7,7,7,6,5,5,4,4,3,2,2,1,1,1,1,1,4,4,3,3,3,3,3,13,12,11,10,9,8,7,6,5,4,3,2,0
"06015",14,14,13,13,13,12,11,10,10,10,10,10,10,9,9,9,9,9,9,8,8,7,7,7,6,5,5,4,4,3,2,2,1,1,1,1,1,4,4,3,3,3,3,3,13,12,11,10,9,8,7,6,5,4,3,2,0
"41017",15,15,14,14,14,13,12,11,11,11,17,17,17,16,16,16,15,15,15,14,14,13,13,13,12,11,11,10,10,9,8,7,6,5,5,5,13,12,12,11,11,14,13,12,11,10,9,8,7,6,7,6,5,4,3,2,0
"41019",16,16,15,15,15,14,13,12,12,12,11,11,11,10,10,10,10,10,10,9,9,8,8,8,7,6,6,5,5,4,3,3,2,6,6,6,5,4,4,3,3,3,3,3,13,12,11,10,9,8,7,6,5,4,3,2,0
"53021",17,17,16,16,16,15,14,13,13,13,12,12,12,11,11,11,11,11,11,10,10,9,9,9,8,7,7,6,6,5,4,4,3,2,2,2,2,1,1,12,12,11,11,10,9,8,9,8,7,6,7,6,5,4,3,2,0
"41021",18,18,17,17,17,16,15,14,14,14,13,13,13,12,12,12,39,38,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,7,6,5,4,3,2,0
"41023",19,19,18,18,18,17,16,15,15,15,14,14,14,13,13,13,12,12,12,11,11,10,10,10,9,8,8,7,7,6,5,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,7,6,5,4,3,2,0
"41025",20,20,19,19,19,18,17,16,16,16,15,15,15,14,14,14,13,13,13,12,12,11,11,11,10,9,9,8,8,7,6,5,4,3,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"41027",21,21,20,20,20,19,18,17,17,43,42,42,41,40,39,38,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,0
"32013",22,22,21,21,21,20,19,18,18,17,16,16,16,15,15,15,14,14,14,13,13,12,12,12,11,10,10,9,9,8,7,6,5,4,4,4,4,3,3,2,2,2,2,2,2,2,2,2,2,5,5,4,3,3,3,2,0
"41029",23,23,22,22,22,21,20,19,20,19,18,18,18,17,17,17,16,16,16,15,15,14,14,14,13,12,12,11,11,10,9,8,7,6,6,6,5,4,4,3,3,3,3,3,13,12,11,10,9,8,7,6,5,4,3,2,0
