"","1","0.249829471442002","0.187763030106831","0.177947056917357","0.174398817660756","0.102458370850309","0.10037746434359","0.0899457733149503","0.0839528709138029","0.0582945003647428","0.0440241309359344","0.0418737142753065","0.0417185724943101","0.0383177026014718","0.0379585966053001","0.0377989959641697","0.0309940828298966","0.0276467057074076","0.0272819047787647","0.021984795020479","0.0169753354982716","0.016643940858667","0.0164888131651591","0.016392710380561","0.0159388098317372","0.0133455962249284","0.0115660990254946","0.00948926948957451","0.00879978204271102","0.0085510823349982","0.00795889101338432","0.00588964119852849","0.00547743503947654","0.00462938971912257","0.00353045013239188","0.00334840880354983","0.00251726270607889","0.00199813733342478","0.00190559979957532","0.00188756885526798","0.00175350719134494","0.00173059853214143","0.00167556151189683","0.00156112189171586","0.0011701837696613","0.000674994351418693","0.000601723308220118","0.0003346409015538","0.000264380930535063","0.000135136751127548","6.01437455255058e-05","1.42126135495337e-05","1.26591128302972e-05","1.02676393979086e-05","7.2550838987825e-06","5.67493579231183e-06","3.51553161869138e-06","2.05731448118033e-06"
"53001",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,11,11,10,10,9,9,9,9,9,8,8,8,7,6,5,5,4,4,9,9,8,8,7,6,5,5,9,8,7,10,9,8,7,6,5,4,3,2,1,1
"53003",2,2,33,32,31,30,30,29,29,28,27,26,25,25,25,24,23,22,21,20,19,19,18,17,16,15,14,13,13,13,12,11,10,10,9,9,8,8,7,7,16,15,14,13,12,11,10,9,8,8,7,6,5,4,3,2,1,1
"16009",3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,2,1,1
"53005",4,4,3,3,13,12,12,11,11,11,11,10,10,10,10,10,10,9,9,9,8,8,7,7,7,7,7,25,24,23,22,21,20,19,18,17,16,16,15,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,1
"16017",5,5,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,17,17,16,16,15,15,14,14,13,12,11,10,9,8,7,10,9,8,7,6,5,4,3,2,1,1
"53007",6,13,12,12,11,10,10,9,9,9,9,8,8,8,8,8,8,7,7,7,6,6,6,6,6,6,6,6,6,6,5,12,11,11,10,10,9,9,8,8,7,6,5,5,9,8,7,10,9,8,7,6,5,4,3,2,1,1
"41005",7,6,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,13,12,11,10,9,8,7,7,7,7,6,5,4,3,2,1,1
"53009",8,7,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,12,12,11,11,11,11,10,9,9,9,8,7,6,6,5,5,4,4,17,16,15,14,13,12,11,10,9,8,7,7,7,6,5,4,3,2,1,1
"53011",9,8,7,7,6,29,29,28,28,37,36,35,34,33,32,31,30,29,28,27,26,26,25,24,23,22,21,20,23,22,21,20,19,18,17,18,17,17,16,15,14,13,12,11,10,9,8,7,7,7,7,6,5,4,3,2,1,1
