"","1","0.164861156248872","0.145022556390977","0.069570558911316","0.0482406015037594","0.037754274328826","0.0361089663159927","0.0181037137746203","0.00637340086521231","0.00632872003791487","0.00565850762845339","0.00148370927318296","0.000935105885581976","0.000582773529481253","0.000472519077957773","0.000417391852196032","0.000354389308468329","0.000189007631183109","0.000183510540685883","0.00015159566404486","0.000105319092915376"
"25001",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"25005",2,2,2,2,2,2,13,12,11,12,11,10,9,8,7,6,5,4,3,2,1
"44001",3,3,15,16,15,14,13,12,11,12,11,10,9,8,7,6,5,4,3,2,1
"25009",4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,3,2,1
"09001",5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,4,3,2,1
"25013",6,6,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,3,2,2,1
"09003",7,7,6,6,6,6,5,5,5,5,5,5,5,8,7,6,5,4,3,2,1
"44003",8,16,15,16,15,14,13,12,11,12,11,10,9,8,7,6,5,4,3,2,1
"09007",9,8,7,7,7,7,6,6,6,6,6,6,6,5,5,6,5,4,3,2,1
"25017",10,9,8,8,8,8,7,7,7,7,11,10,9,8,7,6,5,4,3,2,1
"09009",11,10,9,9,9,9,8,8,8,8,7,7,7,6,7,6,5,4,3,2,1
"09011",12,11,10,10,10,14,13,12,11,12,11,10,9,8,7,6,5,4,3,2,1
"36061",13,12,11,11,11,10,9,9,9,9,8,8,8,7,6,5,5,4,3,2,1
"44005",14,13,12,12,15,14,13,12,11,12,11,10,9,8,7,6,5,4,3,2,1
"25021",15,14,13,13,12,11,10,12,11,12,11,10,9,8,7,6,5,4,3,2,1
"25023",16,15,14,14,13,12,11,10,10,10,9,10,9,8,7,6,5,4,3,2,1
"44007",17,16,15,16,15,14,13,12,11,12,11,10,9,8,7,6,5,4,3,2,1
"25025",18,17,16,15,14,13,12,11,11,12,11,10,9,8,7,6,5,4,3,2,1
"44009",19,18,17,16,15,14,13,12,11,12,11,10,9,8,7,6,5,4,3,2,1
"09015",20,19,18,17,16,15,14,13,12,11,10,9,9,8,7,6,5,4,3,2,1
"25027",21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
