"","1","0.218638799117183","0.217785705023481","0.197862470249285","0.150072012310547","0.122194197000524","0.11078498266069","0.104902997814581","0.10445081854151","0.100991897913722","0.0975353086084652","0.0933910821869279","0.0873340902784764","0.0825987468517127","0.0738315733239435","0.0726504731908938","0.0646892476789984","0.0646795646037653","0.0564763224211351","0.0559018509884275","0.0553741774004973","0.0522552724434653","0.0517456913232484","0.0515949286662287","0.0454585034725973","0.0392464200188238","0.0365182919778563","0.0360780601649098","0.0356107676991584","0.0349398550843782","0.0324074074074074","0.0319699073791024","0.030807081327013","0.0289854556102632","0.0216092380422983","0.0204667843525397","0.0191941730604682","0.0191477648511545","0.0190992517259813","0.019075690726263","0.0184880476854635","0.0167191157602773","0.0158955773737056","0.0131843460729394","0.0129486371428699","0.0117230535954086","0.0095492196360198","0.00913159988719337","0.00786978178208313","0.00783785906920744","0.00625315518324849","0.00534880064636657","0.00513559906263187","0.00505682419510378","0.00377012795095737","0.0035262362467084","0.00316328080574475","0.00237364937043489","0.00235422779139929","0.00229720283456116","0.00173825467310973","0.00155448560504724","0.00142976906001038","0.00135072098428587","0.000890728753001637","0.000874407394364437","0.000670092897900868","0.000478788318228982","0.000451053341360569","0.000282686285749849","0.000232686466261043","0.000162813491284819","0.000136055412193865","0.000131837739354712","8.262480472462e-05","7.59738537378466e-05","5.91376967576208e-05","5.25009766725808e-05","2.76068472848843e-05","2.52844333766891e-05","1.63273656320969e-05","1.48792683161615e-05","1.10729296791261e-05","6.09365613381542e-06","4.78621875317087e-06","3.1670858422764e-06","3.09607736799243e-06","2.69172843166921e-06","2.56952076890572e-06","2.46209898063779e-06","2.02122658739498e-06","1.37932516443734e-06","1.32933856615759e-06","1.30511415177691e-06"
"12001",1,1,1,1,1,29,29,29,29,29,28,28,27,26,25,24,44,44,43,42,42,41,41,40,39,38,37,36,35,34,34,33,32,31,30,30,29,28,27,26,25,24,48,47,46,45,44,43,42,41,40,39,38,37,37,36,35,34,33,32,31,30,29,29,28,27,26,25,25,24,23,22,21,20,19,18,17,16,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"12003",2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,56,55,54,53,52,51,50,49,48,47,46,45,44,43,42,41,40,39,38,37,36,35,35,34,33,32,31,30,30,30,29,28,27,32,31,30,29,29,28,27,26,25,25,24,23,22,21,20,19,18,17,16,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"01003",3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"12005",4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,79,78,77,76,75,74,73,72,71,70,69,68,67,66,65,64,63,62,61,60,59,58,57,56,55,54,53,52,51,50,49,48,47,46,45,44,43,42,41,40,39,38,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"12007",5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,58,57,56,55,54,53,52,51,50,49,48,47,46,45,44,43,42,41,40,39,38,37,37,36,35,34,33,32,31,30,29,29,28,27,26,25,25,24,23,22,21,20,19,18,17,16,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"12009",6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,20,20,20,20,19,19,19,18,18,18,18,18,18,31,31,31,30,29,28,27,26,25,24,24,23,23,22,21,21,20,19,18,17,20,19,18,17,16,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"12011",7,7,7,7,7,6,6,6,6,6,55,54,53,52,51,50,49,49,48,47,47,46,46,45,44,43,42,41,40,39,38,37,36,35,34,34,33,32,31,30,29,28,27,40,39,38,37,36,36,35,34,33,32,31,31,31,30,29,28,27,26,25,24,24,23,23,22,21,21,20,19,18,17,20,19,18,17,16,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"12013",8,8,8,8,8,7,7,7,7,7,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,33,32,31,30,29,29,28,27,26,25,25,24,29,28,27,26,25,24,24,23,23,23,22,22,43,42,41,40,39,39,38,37,36,35,34,33,32,31,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"13039",9,9,9,9,9,8,8,8,8,8,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,25,25,24,23,22,21,20,19,18,17,16,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
