"","1","0.206045218547897","0.123677685582208","0.0836060705723776","0.0638091254110196","0.0619800240206129","0.0578619733970609","0.0514524911978807","0.0496043395238275","0.0442112506451058","0.0314650934119961","0.0295140389339554","0.0292479108635097","0.0282805429864253","0.0275025778705378","0.0240585719267278","0.0239640146464821","0.0234199080498802","0.0203249228365748","0.0155477151176418","0.0154987268595774","0.0141820937533831","0.0131644173813585","0.0116533577902434","0.0116379838745987","0.0109008468458408","0.00796749060644076","0.00763358778625954","0.00677200902934537","0.00657399897802912","0.00651601863407535","0.00603448275862069","0.00545106834981776","0.00506072874493927","0.004972270032511","0.0040619004184501","0.00399960032633779","0.00383498646750165","0.00300734929150875","0.00288839500151801","0.00265957446808511","0.00220081836233614","0.0021172292878046","0.0018398651287105","0.00175833791500434","0.00127048103040393","0.00119314275646997","0.00116951060333165","0.000877875981903462","0.000829187396351576","0.000791341723155021","0.000465805211684149","0.000426677502920709","0.000376222723852521","0.000289936901224217","0.000253292806484296","0.000161398042757095","0.000132141469102215","0.000109826338796629","0.000100727758051925","7.3388551602719e-05","5.369523091654e-05","2.47377202347507e-05","1.12761183090333e-05","1.03275238294024e-05","3.64305360753384e-06","0"
"30001",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,9,9,9,9,8,12,12,11,10,9,8,8,7,6,5,5,6,5,4,3,2,0
"30003",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,40,39,38,38,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,18,17,16,15,14,14,13,12,11,10,9,8,7,6,6,5,5,4,3,2,0
"30005",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,12,12,12,11,11,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,16,15,15,14,13,13,12,11,10,9,11,10,9,8,7,6,5,4,3,2,0
"16017",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,11,11,10,10,9,8,8,7,6,9,8,8,7,6,5,5,6,5,4,3,2,0
"16021",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,1,1,1,1,1,1,7,6,9,8,8,7,6,5,5,6,5,4,3,2,0
"30007",6,6,6,6,6,6,6,6,6,6,6,22,22,21,20,20,20,19,18,18,18,17,16,16,15,15,15,14,14,13,12,11,11,10,10,9,14,14,14,13,12,12,11,11,10,9,9,9,9,8,12,12,11,10,9,8,8,7,6,5,5,6,5,4,3,2,0
"30009",7,7,65,64,63,62,61,60,59,58,57,56,55,54,53,52,51,50,49,48,47,46,45,44,43,42,41,40,39,38,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,0
"30011",8,8,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,5,5,4,4,4,4,4,4,4,7,7,7,7,6,6,6,6,6,5,5,5,5,4,3,3,3,3,3,3,3,2,2,2,2,2,2,7,6,6,5,5,4,3,2,0
"30013",9,9,8,8,56,55,54,53,52,51,50,49,48,47,46,45,44,43,42,41,40,39,38,37,36,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,16,15,15,14,13,13,12,11,10,9,11,10,9,8,7,6,5,4,3,2,0
"30015",10,10,9,9,8,8,8,8,8,21,20,19,19,18,17,17,17,16,15,15,15,14,13,13,12,12,12,11,11,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,16,15,15,14,13,13,12,11,10,9,11,10,9,8,7,6,5,4,3,2,0
"30017",11,11,10,10,9,9,9,9,9,8,8,7,7,7,7,7,7,7,7,7,7,7,6,6,5,5,5,5,5,5,5,4,4,4,4,17,16,16,16,15,14,14,13,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,6,5,5,4,3,2,0
"30019",12,12,11,11,10,10,10,10,10,9,9,8,8,8,8,8,8,8,8,8,8,8,7,7,6,6,6,6,6,6,6,5,5,5,5,4,4,4,4,4,4,4,4,4,3,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"30021",13,13,12,12,11,11,11,11,11,10,10,9,9,9,9,9,9,9,9,9,9,9,8,8,7,7,7,24,24,23,22,21,20,19,18,17,16,16,16,15,14,14,13,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,6,5,5,4,3,2,0
"30023",14,14,13,13,12,12,12,51,50,49,48,47,46,45,44,43,42,41,40,39,38,37,36,35,34,34,33,32,31,30,29,28,27,26,25,24,23,23,22,21,20,19,18,17,16,15,15,14,14,13,12,12,11,10,9,8,8,7,6,5,5,6,5,4,3,2,0
"38023",15,15,14,14,13,13,13,12,12,11,11,10,10,10,10,10,10,10,10,10,10,10,9,9,8,8,8,7,7,7,7,6,6,6,6,5,5,5,5,5,17,16,15,14,13,12,12,11,11,10,9,9,8,7,6,11,10,9,8,7,6,5,5,4,3,2,0
"30025",16,16,15,15,14,14,14,13,13,12,12,11,11,11,11,11,11,11,11,11,11,11,10,10,9,9,9,8,8,8,8,7,7,7,7,6,6,6,6,6,5,5,5,5,4,3,3,3,3,3,3,3,2,2,2,2,2,2,7,6,6,5,5,4,3,2,0
"30027",17,17,16,16,15,15,15,14,14,13,13,12,12,12,12,12,12,12,16,16,16,15,14,14,13,13,13,12,12,11,11,10,10,17,17,16,15,15,15,14,13,13,12,12,11,10,10,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,0
"30029",18,18,17,17,16,16,16,15,15,14,14,13,13,13,19,19,19,18,17,17,17,16,15,15,14,14,14,13,13,12,25,24,23,22,21,20,19,19,18,17,16,15,14,13,12,11,11,10,10,9,8,8,7,6,9,8,8,7,6,5,5,6,5,4,3,2,0
"30031",19,19,18,18,17,17,17,16,34,33,32,31,31,30,29,28,27,26,25,25,24,23,22,22,21,21,21,20,20,19,18,17,17,16,16,15,14,14,14,13,12,12,11,11,10,9,9,9,9,8,12,12,11,10,9,8,8,7,6,5,5,6,5,4,3,2,0
"30033",20,20,19,19,18,18,18,17,16,15,15,14,14,14,13,13,13,13,12,12,12,12,11,11,10,10,10,9,9,9,9,8,8,8,8,7,7,7,7,7,6,6,6,6,5,4,4,4,4,15,14,14,13,12,11,10,9,8,7,6,6,5,5,4,3,2,0
"30035",21,21,20,20,19,19,19,18,17,16,16,15,15,15,14,14,14,30,29,29,28,27,26,38,37,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,17,16,15,14,13,13,12,11,10,9,11,10,9,8,7,6,5,4,3,2,0
"30037",22,22,21,21,20,20,20,19,18,17,17,16,16,51,50,49,48,47,46,45,44,43,42,41,40,42,41,40,39,38,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,0
"38033",23,23,22,22,21,21,21,20,19,18,55,54,53,52,51,50,49,48,47,46,45,44,43,42,41,40,39,38,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,6,5,5,4,3,2,0
"30039",24,24,23,23,22,22,22,21,20,19,18,17,17,16,15,15,15,14,13,13,13,30,29,28,27,27,26,25,25,24,23,22,21,20,19,18,17,17,17,16,15,19,18,17,16,15,15,14,14,13,12,12,11,10,9,8,8,7,6,5,5,6,5,4,3,2,0
"31081",25,25,24,24,23,23,23,22,21,20,19,18,18,17,16,16,16,15,14,14,14,13,12,12,11,11,11,10,10,10,10,9,9,9,9,8,8,8,8,8,7,7,7,7,6,5,5,5,5,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,0
"30041",26,26,25,25,24,24,24,23,22,21,20,19,19,18,17,17,17,16,15,15,15,14,13,13,12,12,12,11,11,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,16,15,15,14,13,13,12,11,10,9,11,10,9,8,7,6,5,4,3,2,0
"30043",27,29,28,28,27,27,27,26,25,24,23,22,22,21,20,20,20,19,18,18,18,17,16,16,15,15,15,14,14,13,12,11,11,10,10,9,14,14,14,13,12,12,11,11,10,9,9,9,9,8,12,12,11,10,9,8,8,7,6,5,5,6,5,4,3,2,0
"30045",28,27,26,26,25,25,25,24,23,22,21,20,20,19,18,18,18,17,16,16,16,15,14,14,13,13,13,12,12,11,11,10,10,17,17,16,15,15,15,14,13,13,12,12,11,10,10,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,0
"30047",29,28,27,27,26,26,26,25,24,23,22,21,21,20,19,19,19,18,17,17,17,16,15,15,14,14,14,13,13,12,25,24,23,22,21,20,19,19,18,17,16,15,14,13,12,11,11,10,10,9,8,8,7,6,9,8,8,7,6,5,5,6,5,4,3,2,0
"30049",30,29,28,28,27,27,27,26,25,24,23,22,22,21,20,20,20,19,18,18,18,17,16,16,15,15,15,14,14,13,12,11,11,10,10,9,14,14,14,13,12,12,11,11,10,9,9,9,9,8,12,12,11,10,9,8,8,7,6,5,5,6,5,4,3,2,0
