"","1","0.214358200411126","0.187763030106831","0.160258504068916","0.116474546780446","0.104489924235279","0.102458370850309","0.0992166502033034","0.0882785679254537","0.0813302006144948","0.0760393873085339","0.0720713791246827","0.0641438032166509","0.0587216263725066","0.0515164994480963","0.0453146340783569","0.0413093897024717","0.0409753645047763","0.0377989959641697","0.0353033763611945","0.0299482472414803","0.027446185969202","0.0259082217973231","0.0231321980509893","0.0226322864475131","0.0223729175565997","0.0217675563418199","0.0208124823568661","0.0206036508223387","0.0193492233529727","0.016392710380561","0.0159177820267686","0.0158919348430671","0.0149508756941478","0.0145676069394782","0.0143288084464555","0.0138564002980983","0.0131664541646067","0.0129856837634175","0.0127878950187467","0.0125891019206887","0.0123671025296346","0.0103887738237693","0.0102175969725639","0.0100355640295244","0.00844202251206003","0.00823197521158026","0.00811719195890672","0.00782647632427248","0.00643491846499365","0.00485436893203884","0.000721736493301016","0.000402001072002859","0.000331184877588974","0.000199829322249467","0.000196869770646717","0.000141359296496723","0.00011519572694381"
"53001",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,10,10,10,10,10,9,8,7,7,7,7,6,16,15,14,14,13,12,13,12,11,10,9,8,7,6,5,4,3,2,1,1
"53003",2,2,33,32,31,31,30,30,29,28,28,28,27,26,25,24,23,22,21,21,21,20,20,19,18,17,16,16,16,15,14,13,12,11,11,11,11,10,9,8,8,8,7,7,7,7,11,10,9,8,7,6,5,4,3,2,1,1
"16009",3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,4,3,2,1,1
"53005",4,4,3,3,13,13,12,12,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,9,8,8,8,8,8,7,6,7,7,7,7,6,16,15,14,14,13,12,13,12,11,10,9,8,7,6,5,4,3,2,1,1
"16017",5,5,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,22,22,22,21,20,19,18,17,16,16,16,15,14,13,13,13,12,12,13,12,11,10,9,8,7,6,5,4,3,2,1,1
"53007",6,13,12,12,11,11,10,10,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,7,6,6,6,6,6,5,5,5,5,5,5,15,14,13,13,13,12,12,13,12,11,10,9,8,7,6,5,4,3,2,1,1
"41005",7,6,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,1
"53009",8,7,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,3,3,3,3,3,3,3,3,3,3,3,3,16,15,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,1
"53011",9,8,7,7,6,6,29,29,28,37,37,36,35,34,33,32,31,30,29,28,31,30,29,28,27,26,25,24,25,24,23,22,21,20,19,20,19,18,17,16,15,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,1
