"","1","0.222373433019953","0.190498846250381","0.17619911509528","0.165505976539598","0.160400961722273","0.155330600588536","0.1492546545366","0.143495842545712","0.129668738379635","0.116283846160277","0.113488914484758","0.098681972707548","0.0950724327940417","0.0915135269846911","0.0893062293657202","0.0831651368133277","0.0774313144565896","0.0774129670837594","0.0760974905287308","0.067892210254108","0.0667671181502275","0.065921270032105","0.0648709552614078","0.0629699544024995","0.0538540045713245","0.0515410732607752","0.0499550678668791","0.0470795104738496","0.0470677279520709","0.0459058107752188","0.0454503086578818","0.0366104457356258","0.0356030867646204","0.0355716107936316","0.0329907217503346","0.0318148145113835","0.0293631100082713","0.0259242556397244","0.0257369882850169","0.0245619248219846","0.0239300561860276","0.0204212096642887","0.0201713145279386","0.0198350080185394","0.0188063473842675","0.0136510590477955","0.0136183885605243","0.011616133849902","0.011374379127608","0.010970501115965","0.0100116626077128","0.00988586495730821","0.00763133199895232","0.00726601211162901","0.00699225103094752","0.0055287877676967","0.00496192651169212","0.00451525985179115","0.00366034957837203","0.00182086803812342","0.00168910337820676","0.0016758650275224","0.00164075757328628","0.00142260280493336","0.00129410949829172","0.00084709195931514","0.000756758611365095","0.000720782611267031","0.000492496107583117","0.000410383220137727","0.000361769445536367","0.000320951339159979","0.000226677073403263","0.000186258941498878","0.000169615077667441","0.000162186098295734","0.000156260146762777","0.000111689311424955","0.000105854898796708","0.0001021941879723","0.000101522697055123","8.07280845863065e-05","2.59565614072271e-05","2.50862542286937e-05","2.22592694094456e-05","1.74952104549501e-05","1.42736043803509e-05","9.059396604585e-06","7.78215910857418e-06","6.59697698287964e-06","4.05737031850945e-06","3.47235255828903e-06","2.63923496327012e-06","2.58885436838219e-06","2.44483143827553e-06","2.2973906269757e-06","2.25948531937072e-06","2.04354470431906e-06","1.44459344393966e-06"
"50001",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,28,27,26,25,24,23,23,22,21,20,20,19,18,17,16,16,15,14,14,19,18,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"36001",2,69,68,67,66,65,64,63,62,62,61,60,65,64,63,63,62,61,60,59,58,57,56,55,54,53,52,51,51,50,49,48,47,46,45,44,43,42,42,41,40,40,40,40,39,50,49,48,47,46,45,44,43,42,41,40,39,38,38,37,36,35,34,33,32,31,30,29,28,27,26,28,27,26,25,24,23,22,21,20,19,18,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"36003",3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,48,47,46,45,44,43,42,42,41,40,39,38,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"50003",4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,36,35,34,33,32,31,30,29,28,27,26,28,27,26,25,24,23,22,21,20,19,18,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"34003",5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,45,44,43,42,41,40,40,39,38,38,38,38,37,37,36,35,34,33,33,32,31,39,38,37,42,41,41,40,39,38,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"25003",6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,34,33,32,31,30,29,28,27,26,28,27,26,25,24,23,22,21,20,19,18,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"42015",7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,43,42,41,40,39,38,37,36,35,34,34,33,33,34,33,32,31,30,29,28,27,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"36005",8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,50,49,48,47,46,46,46,45,44,43,42,41,40,39,38,38,37,44,44,43,43,42,41,40,39,38,37,48,47,46,45,44,43,42,41,41,40,39,38,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"36007",9,8,8,8,8,8,8,8,79,79,78,77,76,75,74,73,72,71,70,69,68,67,66,65,64,63,62,61,60,59,58,57,56,55,54,53,52,51,50,49,48,47,46,46,45,44,43,42,41,40,39,38,37,36,35,34,34,33,33,34,33,32,31,30,29,28,27,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
"36009",10,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,48,47,46,45,44,43,42,42,41,40,39,38,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
