"","1","0.22179611317407","0.152977842314386","0.147187656061393","0.131707687725979","0.12760450608717","0.126999846731325","0.09536644554406","0.084256391685797","0.0838577291381669","0.0834260955884485","0.074568248728955","0.0704343187997451","0.0614026672234807","0.0522748082397045","0.0516554289251476","0.0494276318531715","0.0428314685877265","0.0397154305452073","0.0366688963656669","0.0318513328389848","0.0302132079987476","0.029948957660347","0.028929709620908","0.0267936392973101","0.0242408672318851","0.0228721559327803","0.0220948187142102","0.0197562000840689","0.0184853549140242","0.0160832353796542","0.0156109471019085","0.0139725367066976","0.0131123887020179","0.0121602288984263","0.0112837730374006","0.0103636409992026","0.00939076618160375","0.00809812219345617","0.00772725695911382","0.00635900116264456","0.00578039126216328","0.0049822735467438","0.00458736739829118","0.00446326309542913","0.00409268494980498","0.00393289572436461","0.0038259206121473","0.00343189017951426","0.00328883729928419","0.00280898876404494","0.00278919355925352","0.00258677144728225","0.00243897643702818","0.00203681141172913","0.00180147721131328","0.000967351874244256","0.000934588709568644","0.000900825647403629","0.000843556812623439","0.000718540357352508","0.000468228586510602","0.000393966681674921","0.000368317037488282","0.000325369919372417","0.000199369848870534","0.000185496253350505","0.000134468890644468","0.000124131082423039","8.0767618250089e-05","4.78034030296832e-05","4.72268399576848e-05","4.20426651195447e-05","3.3956486713957e-05","2.15337638650522e-05","8.80281690140846e-06","5.7527090429073e-06","4.82759416818726e-06","3.78712590246851e-06","2.60048604173278e-06","2.25238690052926e-06","2.15193486137386e-06","1.99704624565195e-06","1.22395947090342e-06","0","NA"
"08001",1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,16,15,15,14,38,37,36,35,34,33,33,32,31,30,29,28,28,47,46,45,44,43,42,41,40,39,38,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,0,0
"08003",2,2,2,14,14,13,12,12,12,12,12,12,12,11,11,11,11,11,11,11,11,10,9,9,10,10,10,10,9,9,41,40,39,38,37,36,35,34,33,32,31,30,29,28,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,14,22,21,20,19,18,17,16,16,15,15,15,14,13,13,12,11,10,9,8,7,6,5,4,3,0,0
"56001",3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,9,8,7,6,5,4,3,0,0
"08005",4,21,21,20,22,21,20,20,21,20,20,20,20,19,18,18,18,17,17,17,17,16,15,15,14,38,37,36,35,34,33,33,32,31,30,29,28,28,47,46,45,44,43,42,41,40,39,38,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,0,0
"08007",5,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,21,20,19,18,17,16,18,17,17,16,16,15,14,13,13,12,12,12,14,13,13,12,11,10,9,8,7,6,5,4,3,0,0
"08009",6,5,5,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,18,17,16,15,15,14,14,14,13,14,13,12,11,10,9,8,7,6,5,4,3,0,0
"08011",7,6,6,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,44,43,42,41,40,39,38,37,36,35,34,33,32,31,30,29,28,28,27,26,25,25,25,24,23,22,21,20,19,18,17,16,15,14,13,26,25,24,23,22,21,20,19,18,17,18,17,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,0,0
"08013",8,7,7,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,16,15,15,14,38,37,36,35,34,33,33,32,31,30,29,28,28,47,46,45,44,43,42,41,40,39,38,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,0,0
"08014",9,8,8,7,7,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,16,15,15,14,38,37,36,35,34,33,33,32,31,30,29,28,28,47,46,45,44,43,42,41,40,39,38,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,0,0
"08015",10,9,9,8,8,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,20,19,18,17,16,15,14,14,22,21,20,19,18,17,16,16,15,15,15,14,13,13,12,11,10,9,8,7,6,5,4,3,0,0
"31029",11,10,10,9,9,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,3,2,2,2,2,2,2,2,2,2,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,0,0
"08017",12,11,11,10,10,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,7,6,6,6,6,6,6,6,6,6,6,6,6,17,16,16,16,16,16,15,15,15,15,15,15,15,14,13,12,12,11,10,9,15,14,13,26,25,24,23,22,21,20,19,18,17,18,17,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,0,0
"31033",13,12,12,11,11,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,8,7,7,7,7,7,7,50,49,48,47,46,45,44,43,42,41,40,39,38,37,36,35,42,41,40,39,38,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,0,0
"08019",14,13,13,12,12,11,33,32,31,30,30,30,30,29,28,27,27,26,26,26,43,42,41,40,39,38,37,36,35,34,33,33,32,31,30,29,28,28,47,46,45,44,43,42,41,40,39,38,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,0,0
"35007",15,14,14,13,13,12,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,9,8,8,8,8,8,8,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,14,14,13,12,11,10,9,9,9,9,9,9,9,8,8,19,18,17,18,17,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,0,0
"08021",16,15,15,14,14,13,12,12,12,12,12,12,12,11,11,11,11,11,11,11,11,10,9,9,10,10,10,10,9,9,41,40,39,38,37,36,35,34,33,32,31,30,29,28,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,14,22,21,20,19,18,17,16,16,15,15,15,14,13,13,12,11,10,9,8,7,6,5,4,3,0,0
"17031",17,16,16,15,15,14,13,13,13,13,13,13,13,12,12,12,12,12,12,12,12,11,10,10,9,9,9,9,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,5,5,5,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,8,7,6,5,4,3,0,0
"08023",18,17,17,16,16,15,14,14,14,14,14,14,14,13,13,13,13,13,13,13,13,12,11,11,10,10,10,10,9,9,41,40,39,38,37,36,35,34,33,32,31,30,29,28,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,14,22,21,20,19,18,17,16,16,15,15,15,14,13,13,12,11,10,9,8,7,6,5,4,3,0,0
"08025",19,18,18,17,17,16,15,15,15,15,15,15,15,14,46,45,44,43,43,42,41,40,39,38,37,36,36,35,34,33,32,32,31,30,29,28,27,27,27,27,26,25,24,24,24,24,23,22,21,20,19,18,17,16,15,14,13,26,25,24,23,22,21,20,19,18,17,18,17,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,0,0
"08027",20,19,19,18,18,17,16,16,16,16,16,16,16,15,14,14,14,14,14,14,14,13,12,12,11,11,11,11,10,10,9,9,11,11,10,32,31,30,29,29,28,27,26,40,39,38,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,18,17,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,0,0
"08029",21,20,20,19,19,18,17,17,17,17,17,17,17,16,15,15,15,15,15,15,15,14,13,13,12,12,12,12,11,15,14,14,13,13,12,11,11,11,11,11,36,35,34,33,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,17,16,16,15,14,13,13,12,12,12,14,13,13,12,11,10,9,8,7,6,5,4,3,0,0
"08031",22,21,21,20,22,21,20,20,21,20,20,20,20,19,18,18,18,17,17,17,17,16,15,15,14,38,37,36,35,34,33,33,32,31,30,29,28,28,47,46,45,44,43,42,41,40,39,38,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,0,0
"31049",23,22,22,21,20,19,18,18,18,18,18,18,18,17,16,16,16,16,16,16,16,15,14,14,13,13,13,13,12,11,10,10,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,6,6,6,5,4,4,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,0,0
"08033",24,23,23,22,21,20,19,19,19,19,19,19,19,18,17,17,17,40,40,39,38,37,36,35,34,33,33,32,31,30,29,29,28,28,27,26,25,25,25,25,24,32,31,30,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,18,17,17,16,16,15,14,13,13,12,12,12,14,13,13,12,11,10,9,8,7,6,5,4,3,0,0
"08035",25,24,24,23,22,21,20,20,21,20,20,20,20,19,18,18,18,17,17,17,17,16,15,15,14,38,37,36,35,34,33,33,32,31,30,29,28,28,47,46,45,44,43,42,41,40,39,38,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,0,0
"08037",26,25,25,24,23,22,21,21,20,35,35,35,35,34,33,32,32,31,31,62,61,60,59,58,57,56,55,54,53,52,51,50,49,48,47,46,45,44,43,42,41,40,39,38,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,22,21,20,19,18,17,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,0,0
"08041",27,26,80,79,78,77,76,75,74,73,72,71,70,69,68,67,66,65,65,64,63,62,61,60,59,58,57,56,55,54,53,52,51,50,49,48,47,46,45,44,43,42,41,40,39,38,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,18,17,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,0,0
"08039",28,27,26,25,24,23,22,22,21,20,20,20,20,19,18,18,18,17,17,17,17,16,15,15,14,38,37,36,35,34,33,33,32,31,30,29,28,28,47,46,45,44,43,42,41,40,39,38,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,0,0
"34013",29,28,27,26,25,24,23,23,22,21,21,21,21,20,19,19,19,18,18,18,18,17,16,16,15,14,14,14,13,12,11,11,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,7,7,7,6,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,1,1,1,5,4,3,0,0
"08043",30,29,28,27,26,25,24,24,23,22,22,22,22,21,20,20,20,19,19,19,19,18,17,17,16,15,15,15,14,13,12,12,11,11,10,32,31,30,29,29,28,27,26,40,39,38,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,18,17,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,0,0
"08045",31,30,29,28,27,26,25,56,55,54,53,52,52,51,50,49,48,47,47,46,45,44,43,42,41,40,39,38,37,36,35,50,49,48,47,46,45,44,43,42,41,40,39,38,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,22,21,20,19,18,17,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,0,0
"08047",32,31,30,29,28,27,26,25,24,23,23,23,23,22,21,27,27,26,26,26,43,42,41,40,39,38,37,36,35,34,33,33,32,31,30,29,28,28,47,46,45,44,43,42,41,40,39,38,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,0,0
"08049",33,32,31,30,29,28,27,26,25,24,24,24,24,23,22,21,21,20,20,20,20,19,18,18,17,16,16,16,15,14,13,13,12,12,11,10,10,10,10,10,10,10,10,10,10,10,10,10,9,8,8,30,29,28,27,26,25,24,23,22,21,20,19,22,21,20,19,18,17,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,0,0
"08051",34,33,32,31,30,29,28,27,26,25,25,25,25,24,23,22,22,21,21,21,21,20,19,19,18,17,17,17,16,15,14,14,13,13,12,11,11,11,11,11,36,35,34,33,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,17,16,16,15,14,13,13,12,12,12,14,13,13,12,11,10,9,8,7,6,5,4,3,0,0
"20075",35,34,33,32,31,30,29,28,27,26,26,26,26,25,24,23,23,22,22,22,22,21,20,20,19,18,18,18,17,16,15,15,14,14,13,12,12,12,12,12,11,11,11,11,11,11,11,11,10,9,9,8,7,6,6,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,12,11,10,9,8,7,6,5,4,3,0,0
"08053",36,35,34,33,32,31,30,29,28,27,27,27,27,26,25,24,24,23,23,23,23,22,21,21,20,19,19,19,18,17,16,16,15,15,14,13,13,13,13,13,12,12,12,12,12,12,12,12,11,10,10,9,8,7,7,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,4,4,3,3,2,2,2,1,1,1,0,0
"08055",37,36,35,34,33,32,31,30,29,28,28,28,28,27,26,25,25,24,24,24,24,23,22,44,43,42,41,40,39,38,37,36,35,34,33,32,31,30,29,29,28,27,26,40,39,38,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,18,17,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,0,0
