"integration","cumulative","Region"
"1",0.2212810454976,28,"Region8"
"2",0.206045218547897,28,"Region8"
"3",0.166454080421688,28,"Region8"
"4",0.158747151350166,28,"Region8"
"5",0.157035167500982,28,"Region8"
"6",0.148030606902447,27,"Region8"
"7",0.139343033095086,26,"Region8"
"8",0.135937682878356,27,"Region8"
"9",0.134611602753196,27,"Region8"
"10",0.127206594250102,28,"Region8"
"11",0.123677685582208,28,"Region8"
"12",0.120007680491551,28,"Region8"
"13",0.117871137978185,28,"Region8"
"14",0.109715559015898,28,"Region8"
"15",0.0999009574920301,29,"Region8"
"16",0.0949462744930039,29,"Region8"
"17",0.0943541014686508,29,"Region8"
"18",0.0933483399604022,29,"Region8"
"19",0.0918866449222063,29,"Region8"
"20",0.0854909517872527,30,"Region8"
"21",0.0836060705723776,30,"Region8"
"22",0.0812246327599869,30,"Region8"
"23",0.0758245845537109,30,"Region8"
"24",0.0700089810817858,30,"Region8"
"25",0.0638091254110196,30,"Region8"
"26",0.0632198487669509,30,"Region8"
"27",0.0619800240206129,30,"Region8"
"28",0.0616159036120953,31,"Region8"
"29",0.0578619733970609,31,"Region8"
"30",0.0550581194392238,31,"Region8"
"31",0.0514524911978807,31,"Region8"
"32",0.0504649622532017,31,"Region8"
"33",0.0501570874785413,32,"Region8"
"34",0.0499745728617946,32,"Region8"
"35",0.0496043395238275,32,"Region8"
"36",0.048695978328037,32,"Region8"
"37",0.0456459657326675,32,"Region8"
"38",0.0448373538029073,32,"Region8"
"39",0.0440869961719448,32,"Region8"
"40",0.0417553242950407,32,"Region8"
"41",0.0403985381360378,33,"Region8"
"42",0.0396394021075301,33,"Region8"
"43",0.0370092065544778,32,"Region8"
"44",0.0368372850247492,32,"Region8"
"45",0.0336427336870019,31,"Region8"
"46",0.031907784831273,31,"Region8"
"47",0.0311655913144233,31,"Region8"
"48",0.030869855316758,31,"Region8"
"49",0.0288146822270969,31,"Region8"
"50",0.0285792543880767,31,"Region8"
"51",0.0283429442939868,31,"Region8"
"52",0.0282805429864253,31,"Region8"
"53",0.0275025778705378,31,"Region8"
"54",0.0253545304017311,31,"Region8"
"55",0.0240585719267278,31,"Region8"
"56",0.0239640146464821,31,"Region8"
"57",0.0234199080498801,31,"Region8"
"58",0.0207313368632981,31,"Region8"
"59",0.0203249228365748,31,"Region8"
"60",0.0167516599155579,30,"Region8"
"61",0.0155477151176419,31,"Region8"
"62",0.0153068619324861,31,"Region8"
"63",0.0147395753106394,31,"Region8"
"64",0.0145517900650457,30,"Region8"
"65",0.0139540033477255,30,"Region8"
"66",0.0121813030609538,30,"Region8"
"67",0.0119943721148424,31,"Region8"
"68",0.0117454643891514,31,"Region8"
"69",0.0113118961950175,31,"Region8"
"70",0.0112777003897926,31,"Region8"
"71",0.0109232821968347,31,"Region8"
"72",0.0109198203392229,31,"Region8"
"73",0.0106441304777721,31,"Region8"
"74",0.00962535169554279,31,"Region8"
"75",0.00796749060644075,31,"Region8"
"76",0.00794341322271686,30,"Region8"
"77",0.00778128797124478,29,"Region8"
"78",0.00767748285519454,29,"Region8"
"79",0.00721424793294501,28,"Region8"
"80",0.0070957049564534,28,"Region8"
"81",0.00678541136556399,28,"Region8"
"82",0.00651601863407536,28,"Region8"
"83",0.0063992304322148,28,"Region8"
"84",0.00619409184423481,28,"Region8"
"85",0.00577887699688395,28,"Region8"
"86",0.00529514323723879,27,"Region8"
"87",0.00521801103207953,28,"Region8"
"88",0.00511744950302107,28,"Region8"
"89",0.00488810661478223,28,"Region8"
"90",0.00481502090328789,27,"Region8"
"91",0.00479252808782193,27,"Region8"
"92",0.00439854656722138,27,"Region8"
"93",0.00418799234476674,27,"Region8"
"94",0.00399678679298854,26,"Region8"
"95",0.00318557357536253,27,"Region8"
"96",0.00313661159691936,27,"Region8"
"97",0.00310956794099382,27,"Region8"
"98",0.00307436898576563,27,"Region8"
"99",0.00297342338568707,27,"Region8"
"100",0.00275735350189354,27,"Region8"
"101",0.00265957446808507,27,"Region8"
"102",0.00261184315820528,26,"Region8"
"103",0.00203699512219391,25,"Region8"
"104",0.00198482294485569,26,"Region8"
"105",0.00196585735559063,26,"Region8"
"106",0.00190141152150036,26,"Region8"
"107",0.00189987854082452,25,"Region8"
"108",0.00163580935385532,25,"Region8"
"109",0.00150958840581872,25,"Region8"
"110",0.00143421556290857,24,"Region8"
"111",0.00129496402877705,24,"Region8"
"112",0.00109819210973316,24,"Region8"
"113",0.000958017324708238,24,"Region8"
"114",0.000941935060598587,24,"Region8"
"115",0.000878656784310095,24,"Region8"
"116",0.000814651073630768,24,"Region8"
"117",0.000775449373666359,24,"Region8"
"118",0.000728862973760958,24,"Region8"
"119",0.000703656655114959,23,"Region8"
"120",0.000699474654003773,23,"Region8"
"121",0.000660205860282037,23,"Region8"
"122",0.000650438362326256,23,"Region8"
"123",0.000622195221943733,23,"Region8"
"124",0.000502146934341696,23,"Region8"
"125",0.000467195238730955,22,"Region8"
"126",0.000327932691814969,21,"Region8"
"127",0.000223227391318415,21,"Region8"
"128",0.000218521693391982,21,"Region8"
"129",0.000217767803158408,21,"Region8"
"130",0.000197263465823161,22,"Region8"
"131",0.000153693475785643,22,"Region8"
"132",0.000134457325086657,22,"Region8"
"133",0.000113538427320869,21,"Region8"
"134",0.000105810609806967,20,"Region8"
"135",9.71318395012188e-05,19,"Region8"
"136",6.87400029538709e-05,18,"Region8"
"137",5.07610873136111e-05,17,"Region8"
"138",4.78252342928087e-05,17,"Region8"
"139",3.31193754514736e-05,16,"Region8"
"140",3.28796904872641e-05,16,"Region8"
"141",3.2290702430382e-05,16,"Region8"
"142",2.08156172334384e-05,15,"Region8"
"143",1.55741406967502e-05,16,"Region8"
"144",1.39669729054548e-05,15,"Region8"
"145",1.36763825968611e-05,15,"Region8"
"146",9.86660352042534e-06,15,"Region8"
"147",6.09923743255525e-06,14,"Region8"
"148",4.94076873325255e-06,14,"Region8"
"149",2.68538869530044e-06,13,"Region8"
"150",0,13,"Region8"
"151",0,13,"Region8"
"152",0,12,"Region8"
"153",0,11,"Region8"
"154",0,10,"Region8"
"155",0,9,"Region8"
"156",0,9,"Region8"
"157",0,9,"Region8"
"158",0,8,"Region8"
"159",0,8,"Region8"
"160",0,7,"Region8"
"161",0,7,"Region8"
"162",0,7,"Region8"
"163",-1.11022302462516e-16,6,"Region8"
"164",-2.73308901832525e-06,5,"Region8"
"165",-6.07162904908698e-06,4,"Region8"
"166",-8.77683573408117e-06,3,"Region8"
"167",-1.50348495125963e-05,2,"Region8"
"168",-2.2501665328134e-05,1,"Region8"
"169",0.300480260770666,302,"Region9"
"170",0.263531549710382,301,"Region9"
"171",0.25250056386602,301,"Region9"
"172",0.242615039495593,300,"Region9"
"173",0.239048867396639,300,"Region9"
"174",0.238956042876461,299,"Region9"
"175",0.237561688348535,298,"Region9"
"176",0.235440912129101,297,"Region9"
"177",0.234427325560284,296,"Region9"
"178",0.232337800622753,296,"Region9"
"179",0.230649288711632,296,"Region9"
"180",0.225842163777168,295,"Region9"
"181",0.224991648450214,295,"Region9"
"182",0.22174585355627,294,"Region9"
"183",0.219954249343989,294,"Region9"
"184",0.218638799117183,293,"Region9"
"185",0.217785705023481,292,"Region9"
"186",0.215902369222166,292,"Region9"
"187",0.214702046949798,291,"Region9"
"188",0.211333559580031,291,"Region9"
"189",0.208509143254992,290,"Region9"
"190",0.207333722873282,289,"Region9"
"191",0.201773133337365,288,"Region9"
"192",0.197862470249285,288,"Region9"
"193",0.193814655987505,288,"Region9"
"194",0.19178860954216,288,"Region9"
"195",0.191636622258533,287,"Region9"
"196",0.187917961113538,286,"Region9"
"197",0.184499549475976,286,"Region9"
"198",0.176666851033673,286,"Region9"
"199",0.176466474210942,286,"Region9"
"200",0.174811382166392,286,"Region9"
"201",0.174299922983237,286,"Region9"
"202",0.171046055000476,285,"Region9"
"203",0.170684791394069,284,"Region9"
"204",0.169941633699786,284,"Region9"
"205",0.16655970013139,284,"Region9"
"206",0.162796542679877,283,"Region9"
"207",0.158988130805161,282,"Region9"
"208",0.158307562186685,281,"Region9"
"209",0.154408749175295,282,"Region9"
"210",0.153491844905816,282,"Region9"
"211",0.153195287329595,282,"Region9"
"212",0.152665544741884,282,"Region9"
"213",0.15049830470301,281,"Region9"
"214",0.150072012310547,280,"Region9"
"215",0.148662833063108,280,"Region9"
"216",0.145919105256309,279,"Region9"
"217",0.14432858329384,278,"Region9"
"218",0.143156793882265,278,"Region9"
"219",0.141948655486441,278,"Region9"
"220",0.140407499823078,278,"Region9"
"221",0.137466275664326,277,"Region9"
"222",0.137072582640831,277,"Region9"
"223",0.13596499892062,276,"Region9"
"224",0.13553212749979,275,"Region9"
"225",0.134586637121591,275,"Region9"
"226",0.134112246841975,274,"Region9"
"227",0.127718078791379,273,"Region9"
"228",0.12762417604364,272,"Region9"
"229",0.125706467523032,272,"Region9"
"230",0.12364523161679,272,"Region9"
"231",0.123380757052057,272,"Region9"
"232",0.123251302694584,272,"Region9"
"233",0.122194197000524,272,"Region9"
"234",0.121529673343455,272,"Region9"
"235",0.120464447650987,271,"Region9"
"236",0.120199451296911,270,"Region9"
"237",0.119240618781644,270,"Region9"
"238",0.118900392494436,270,"Region9"
"239",0.117293170843996,270,"Region9"
"240",0.116955627525733,269,"Region9"
"241",0.116725762405745,269,"Region9"
"242",0.115197824020531,269,"Region9"
"243",0.114531532656274,268,"Region9"
"244",0.11299787531988,268,"Region9"
"245",0.112918607815837,268,"Region9"
"246",0.112761236385713,267,"Region9"
"247",0.111100775175986,267,"Region9"
"248",0.11078498266069,266,"Region9"
"249",0.110265787840022,266,"Region9"
"250",0.108204903549369,265,"Region9"
"251",0.107904116995048,265,"Region9"
"252",0.106869221350917,264,"Region9"
"253",0.106231850950857,264,"Region9"
"254",0.104902997814581,263,"Region9"
"255",0.10445081854151,262,"Region9"
"256",0.104026676229618,262,"Region9"
"257",0.10388607829646,262,"Region9"
"258",0.102628368803076,261,"Region9"
"259",0.1025425673882,261,"Region9"
"260",0.100991897913722,260,"Region9"
"261",0.100814502049224,259,"Region9"
"262",0.100676932016369,259,"Region9"
"263",0.100417682833655,258,"Region9"
"264",0.100239819836424,258,"Region9"
"265",0.0994898125696388,258,"Region9"
"266",0.0991101513929927,257,"Region9"
"267",0.0986708200953892,257,"Region9"
"268",0.0984074548971171,257,"Region9"
"269",0.0983011508496406,256,"Region9"
"270",0.098155435233651,256,"Region9"
"271",0.0975353086084652,255,"Region9"
"272",0.0971187729685159,254,"Region9"
"273",0.0968662934195411,253,"Region9"
"274",0.0955617835954838,253,"Region9"
"275",0.0945643324294001,253,"Region9"
"276",0.094538559987517,253,"Region9"
"277",0.0933910821869279,252,"Region9"
"278",0.0923824901950885,252,"Region9"
"279",0.0909096932436157,252,"Region9"
"280",0.090908508287759,253,"Region9"
"281",0.0891911523180642,253,"Region9"
"282",0.0878775362973379,253,"Region9"
